2025-07-11 14:21:25,912 - INFO - Train: [1/200][1/2]	eta 0:03:48	loss 0.3077	
2025-07-11 14:21:25,917 - INFO - Train: [1/200][2/2]	eta 0:01:55	loss 0.2317	
2025-07-11 14:21:25,931 - INFO - Train: [2/200][1/2]	eta 0:01:18	loss 0.2243	
2025-07-11 14:21:25,935 - INFO - Train: [2/200][2/2]	eta 0:00:59	loss 0.0765	
2025-07-11 14:21:25,945 - INFO - Train: [3/200][1/2]	eta 0:00:47	loss 0.1502	
2025-07-11 14:21:25,949 - INFO - Train: [3/200][2/2]	eta 0:00:40	loss 0.1296	
2025-07-11 14:21:25,959 - INFO - Train: [4/200][1/2]	eta 0:00:34	loss 0.0941	
2025-07-11 14:21:25,964 - INFO - Train: [4/200][2/2]	eta 0:00:30	loss 0.0439	
2025-07-11 14:21:25,975 - INFO - Train: [5/200][1/2]	eta 0:00:27	loss 0.0557	
2025-07-11 14:21:25,980 - INFO - Train: [5/200][2/2]	eta 0:00:25	loss 0.0390	
2025-07-11 14:21:25,988 - INFO - Train: [6/200][1/2]	eta 0:00:22	loss 0.0498	
2025-07-11 14:21:25,993 - INFO - Train: [6/200][2/2]	eta 0:00:21	loss 0.0379	
2025-07-11 14:21:26,001 - INFO - Train: [7/200][1/2]	eta 0:00:19	loss 0.0732	
2025-07-11 14:21:26,007 - INFO - Train: [7/200][2/2]	eta 0:00:18	loss 0.1479	
2025-07-11 14:21:26,015 - INFO - Train: [8/200][1/2]	eta 0:00:17	loss 0.0781	
2025-07-11 14:21:26,021 - INFO - Train: [8/200][2/2]	eta 0:00:16	loss 0.0811	
2025-07-11 14:21:26,029 - INFO - Train: [9/200][1/2]	eta 0:00:15	loss 0.0577	
2025-07-11 14:21:26,035 - INFO - Train: [9/200][2/2]	eta 0:00:14	loss 0.0395	
2025-07-11 14:21:26,044 - INFO - Train: [10/200][1/2]	eta 0:00:14	loss 0.0443	
2025-07-11 14:21:26,050 - INFO - Train: [10/200][2/2]	eta 0:00:13	loss 0.1011	
2025-07-11 14:21:26,066 - INFO - Train: [11/200][1/2]	eta 0:00:13	loss 0.0477	
2025-07-11 14:21:26,072 - INFO - Train: [11/200][2/2]	eta 0:00:12	loss 0.0045	
2025-07-11 14:21:26,082 - INFO - Train: [12/200][1/2]	eta 0:00:12	loss 0.0503	
2025-07-11 14:21:26,088 - INFO - Train: [12/200][2/2]	eta 0:00:11	loss 0.0711	
2025-07-11 14:21:26,099 - INFO - Train: [13/200][1/2]	eta 0:00:11	loss 0.0570	
2025-07-11 14:21:26,106 - INFO - Train: [13/200][2/2]	eta 0:00:11	loss 0.0335	
2025-07-11 14:21:26,116 - INFO - Train: [14/200][1/2]	eta 0:00:10	loss 0.0573	
2025-07-11 14:21:26,123 - INFO - Train: [14/200][2/2]	eta 0:00:10	loss 0.1259	
2025-07-11 14:21:26,134 - INFO - Train: [15/200][1/2]	eta 0:00:10	loss 0.0473	
2025-07-11 14:21:26,141 - INFO - Train: [15/200][2/2]	eta 0:00:09	loss 0.3878	
