Day,Actual,Predicted
1,1406.692,1692.6263
2,2327.51,1692.6128
3,1913.4958,2111.505
4,1939.994,1880.7281
5,1604.0,1891.7983
6,1689.862,1893.157
7,2080.272,1978.0321
8,1633.2699,2069.0518
9,1788.702,1918.2638
10,2102.948,1926.3297
11,1975.9879,2108.767
12,1589.2781,1965.243
13,2182.5999,1911.1488
14,1781.792,2106.7747
15,1564.068,1945.5021
16,2766.554,1923.3566
17,3317.82,2204.6543
18,3154.194,2212.4756
19,1699.8661,2249.1099
20,1738.028,1904.232
21,1739.434,2056.1396
22,1237.3561,2047.6536
23,1910.536,1923.0591
24,2200.77,2066.4155
25,2843.6638,2065.8054
26,1674.472,2160.4697
27,1425.03,1870.1769
28,2721.734,1872.1553
29,1573.698,2290.6787
30,2059.0378,1896.1683
31,3312.852,2050.0686
32,1827.752,2377.8042
33,1603.2999,1747.3519
34,1868.39,1650.3206
35,2460.924,1701.5848
36,1649.088,1878.2062
37,2048.396,1580.4753
38,3131.536,1608.7883
39,2182.866,1907.6063
40,1706.638,1555.3368
41,1943.822,1438.4587
42,2639.39,1549.969
43,1968.6599,1924.6797
44,1690.0221,1648.0404
45,2335.3298,1539.6362
46,1586.032,1761.0256
47,1318.994,1407.3446
48,793.506,1400.8413
49,826.45,1294.896
50,737.268,1291.0404
51,1880.736,1200.6117
52,1316.184,1440.7295
53,2238.478,1268.9011
54,2733.656,1601.247
55,1783.144,1656.6086
56,1169.844,1559.6069
57,1156.852,1392.9126
58,2028.9178,1389.571
59,1630.75,1652.4238
60,2472.554,1596.6757
61,1477.442,1571.4875
62,1848.9519,1315.9043
63,1842.1301,1536.1432
64,1441.8119,1609.3379
65,1783.474,1560.6403
66,1696.4661,1676.5688
67,2357.166,1673.6456
68,1685.556,1849.2249
69,1836.21,1562.2761
70,2405.904,1632.396
71,1887.26,1869.773
72,1445.52,1708.3298
73,2149.028,1632.243
74,1942.062,1829.3501
75,1338.042,1759.441
76,1931.9099,1566.8234
77,1450.6799,1843.1351
78,1191.532,1635.7017
79,1463.906,1562.2195
80,1930.0221,1621.1171
81,1689.1699,1686.8564
82,1296.4501,1622.1785
83,1661.712,1479.1
84,1838.774,1596.9685
85,1211.004,1702.086
86,1713.926,1515.974
87,2260.976,1661.8661
88,2216.65,1799.0618
89,1477.452,1727.1312
90,1823.482,1596.9353
91,1641.14,1743.8989
92,1644.334,1684.4099
93,1363.26,1702.084
94,2191.232,1602.0809
95,1375.716,1916.4216
96,1452.6339,1553.7139
97,1440.092,1575.7976
98,1534.6,1591.0284
99,1890.472,1640.6527
100,1842.1139,1708.4562
101,2462.446,1736.9962
102,2141.012,1961.6677
103,1599.924,1781.1064
104,1501.538,1654.4595
105,1216.062,1690.1437
106,1564.524,1580.6519
107,2042.8099,1659.5602
108,1512.266,1760.1425
109,1286.468,1691.6273
110,1486.5099,1562.614
111,1894.5979,1675.3334
112,1496.198,1679.0825
113,1141.46,1707.4132
114,1194.048,1535.56
115,2022.284,1597.6512
116,1781.626,1865.7446
117,1351.628,1744.2954
118,1706.386,1565.451
119,1664.6799,1666.445
120,1834.7621,1659.4219
121,1512.802,1735.9999
122,1393.91,1723.2312
123,1608.878,1588.287
124,1667.882,1566.139
125,1731.474,1527.3661
126,1349.902,1606.3301
127,1012.648,1475.2421
128,1857.1559,1366.7056
129,1261.352,1595.5201
130,1967.6339,1378.4319
131,1517.176,1629.4742
132,1625.956,1455.0277
133,1246.3981,1529.5956
134,1606.984,1422.9991
135,1422.226,1588.4523
136,2007.3779,1494.3545
137,1543.764,1679.1985
138,1209.906,1515.416
139,1617.3439,1411.0963
140,1307.162,1515.8187
141,1575.15,1448.0696
142,1074.806,1549.6443
143,1530.598,1432.8439
144,1287.786,1565.1075
145,1354.096,1460.6926
146,1338.8981,1518.446
147,1544.292,1506.7034
148,1179.7361,1532.0488
149,1242.8461,1382.9873
150,1659.106,1350.6656
151,956.89,1535.6195
152,1443.26,1331.6996
153,1090.638,1527.2905
154,1356.578,1383.5392
155,1035.66,1474.5074
156,1230.36,1309.1188
157,1475.4501,1368.0889
158,1207.392,1462.1914
159,1178.776,1339.108
160,1332.8501,1290.4993
161,1602.9961,1337.0552
162,1300.65,1453.2488
163,1101.7319,1362.2638
164,493.61798,1293.0251
165,489.6,1120.5494
166,926.60803,1106.31
167,1508.792,1237.584
168,988.01605,1410.4427
169,1165.7001,1206.637
170,1086.866,1281.7689
171,1107.1,1255.3949
172,855.142,1332.5741
173,1094.098,1231.923
174,1039.214,1310.6686
175,1534.874,1279.3394
176,771.362,1438.8367
177,1277.322,1185.7126
178,1709.052,1369.2091
179,1059.3939,1516.9744
180,1010.134,1344.5092
181,1192.446,1329.4983
182,1218.342,1412.5673
183,1242.578,1298.8828
184,864.148,1352.1067
185,1238.568,1337.7993
186,1410.7361,1520.0801
187,954.25995,1562.3751
188,1110.136,1421.9788
189,1234.4,1492.8712
190,846.252,1541.1558
191,1192.646,1369.1533
192,993.968,1495.2063
193,513.47797,1442.007
194,496.746,1280.0743
195,911.43005,1264.8495
196,718.074,1375.7283
197,599.554,1281.4666
198,731.808,1294.177
199,966.41003,1295.464
200,1203.644,1333.3445
201,662.486,1403.9459
202,813.762,1323.8375
203,739.53204,1393.7601
204,1030.0,1334.2562
205,561.738,1419.3228
206,536.688,1284.307
207,543.016,1257.6791
208,688.566,1280.935
209,902.85004,1391.8141
210,902.00006,1437.4237
211,792.326,1368.4069
212,975.83,1317.3737
213,706.966,1423.3428
214,489.724,1208.2533
215,500.298,1054.7263
216,508.89203,996.6226
217,518.65204,973.9995
218,532.672,973.8609
219,539.296,984.7366
220,526.472,982.342
221,998.23395,969.1712
222,1069.358,1117.6829
223,950.95404,1199.8063
224,824.436,1187.5299
225,806.426,1123.9928
226,748.676,1102.1422
227,1514.0619,1083.5676
228,1217.7119,1336.7562
229,785.908,1284.35
230,1080.598,1135.6431
231,880.74194,1179.1832
232,775.722,1141.3876
233,1161.746,1138.1698
234,1548.7379,1205.5352
235,1066.708,1375.2511
236,1252.254,1240.2743
237,943.61,1240.8029
238,1136.546,1175.2137
239,749.466,1225.9287
240,1118.842,1118.5687
241,1388.4141,1201.3754
242,1668.342,1329.5476
243,1265.522,1360.83
244,980.536,1256.3285
245,1222.814,1240.4703
246,1251.1881,1330.9563
247,1024.388,1327.8445
248,1513.866,1239.3452
249,1228.63,1419.0446
250,1221.458,1291.5135
251,1086.254,1270.2474
252,1521.344,1251.7462
253,1112.354,1418.534
254,1214.146,1270.1627
255,2064.358,1324.1108
256,1571.616,1524.6243
257,1574.858,1325.492
258,1456.8059,1300.2177
259,1743.1621,1283.8317
260,1223.426,1471.3076
261,1374.0321,1322.7137
262,2135.71,1341.8818
263,2035.328,1619.5406
264,1417.868,1567.1094
265,1246.536,1380.3555
266,1636.61,1341.5663
267,1426.258,1470.4987
268,1161.016,1403.7699
269,1556.2539,1345.6156
270,1410.472,1504.3522
271,1299.456,1442.9242
272,1146.3981,1360.1688
273,1776.092,1311.8525
274,1287.252,1550.6771
275,1152.668,1526.0864
276,1716.74,1662.4219
277,1621.1061,1906.1069
278,1275.5221,1845.9001
279,1428.448,1725.5867
280,1821.8341,1814.8889
281,1577.166,1992.8212
282,1351.862,1891.229
283,2012.7559,1847.9727
284,1938.9359,2025.9633
285,1351.604,1980.1844
286,1449.1,1773.6982
287,1711.2239,1829.9636
288,1489.976,1932.4851
289,1516.86,1802.1288
290,2742.08,1850.3567
291,1556.1641,2232.111
292,1369.108,1769.7401
293,1722.808,1771.4263
294,1969.506,1889.7795
295,1399.7101,2015.6923
296,1757.45,1847.3076
297,2614.408,1939.6812
298,2406.536,2053.2468
299,1112.344,2061.361
300,1116.756,1691.101
301,1268.708,1804.2666
302,1981.44,1829.5902
303,1493.3579,1993.4519
304,1875.942,1861.2123
305,1843.168,1990.4
306,1504.2261,1850.8745
307,2266.6877,1645.1498
308,1801.7999,1840.026
309,1560.4661,1760.0438
310,1390.4501,1630.7668
311,1557.176,1622.2548
312,2508.002,1645.7604
313,1407.7001,1830.5051
314,1606.184,1506.0452
315,2040.48,1628.5037
316,1463.066,1803.0378
317,1532.926,1575.8853
318,2560.456,1589.571
319,1967.3079,1920.9698
320,1514.468,1724.7175
321,1708.294,1587.4067
322,2639.1738,1652.8201
323,1474.848,1968.4094
324,1961.016,1556.608
325,2496.856,1712.1528
326,2450.976,1823.9304
327,1471.122,1765.6014
328,2128.856,1480.4661
329,1980.13,1746.8644
330,1599.626,1780.1406
331,1380.026,1615.3839
332,1858.95,1596.3644
333,1650.9619,1739.82
334,1745.19,1615.6082
335,1756.378,1641.3326
336,2345.668,1625.3507
337,1479.6881,1863.7216
338,1711.2941,1539.4395
339,2351.762,1572.9795
340,2378.2878,1760.1985
341,1742.6381,1797.2087
342,2006.8839,1556.0896
343,1802.356,1677.6058
344,2058.0417,1635.2057
345,1784.4619,1728.2651
346,1816.38,1593.4496
347,2138.814,1660.6376
348,1794.8619,1697.6063
349,1940.116,1570.9084
350,1394.874,1632.0681
351,1717.182,1521.1361
352,1744.706,1604.7837
353,2204.334,1578.7986
354,1144.166,1695.8763
355,2034.966,1399.6772
356,1888.022,1594.7593
357,1455.2,1601.0015
358,2905.894,1486.7588
359,2127.648,1875.1315
360,2183.618,1698.8894
361,2195.452,1745.0226
362,2094.098,1671.573
363,2047.9679,1682.2059
364,2451.1099,1650.861
365,2211.892,1853.0221
