Day,Actual,Predicted
1,1406.6919,2042.1155
2,2327.51,1884.3503
3,1913.496,2069.83
4,1939.994,1991.1434
5,1603.9999,1996.4675
6,1689.8619,1822.3972
7,2080.272,1965.8876
8,1633.2699,2064.895
9,1788.7019,1959.1174
10,2102.948,1995.6183
11,1975.988,2135.7583
12,1589.278,2034.0332
13,2182.5999,1966.3424
14,1781.792,2131.4365
15,1564.068,2055.9756
16,2766.554,1980.889
17,3317.8198,2316.266
18,3154.1938,2393.6326
19,1699.8658,2317.756
20,1738.028,2008.8689
21,1739.434,2060.1404
22,1237.356,2030.5609
23,1910.5359,1867.0068
24,2200.77,2028.4209
25,2843.6638,2159.4097
26,1674.4719,2285.452
27,1425.0299,2023.2413
28,2721.7341,1904.9615
29,1573.698,2276.1685
30,2059.0378,1976.1586
31,3312.852,2079.9443
32,1827.752,2411.8193
33,1603.3,1931.9583
34,1868.3899,2017.6307
35,2460.924,2124.925
36,1649.088,2305.3896
37,2048.396,1998.2808
38,3131.536,2150.4207
39,2182.866,2525.8594
40,1706.638,2263.7104
41,1943.822,2109.4998
42,2639.39,2134.096
43,1968.6599,2298.2822
44,1690.022,2028.2715
45,2335.33,2096.8118
46,1586.0319,2345.968
47,1318.994,1942.8824
48,793.50604,1823.8525
49,826.45,1567.1552
50,737.268,1526.9817
51,1880.736,1449.5352
52,1316.184,1922.5846
53,2238.478,1871.2296
54,2733.656,2114.9783
55,1783.1439,2192.0603
56,1169.844,2124.233
57,1156.852,1869.808
58,2028.918,1773.4312
59,1630.75,2147.5688
60,2472.5542,2059.3115
61,1477.442,2126.5945
62,1848.952,2016.87
63,1842.13,2161.2144
64,1441.8119,2131.0251
65,1783.474,1943.6096
66,1696.4661,2101.5332
67,2357.166,2139.5615
68,1685.5559,2363.0369
69,1836.2098,2075.7922
70,2405.904,2126.944
71,1887.26,2300.036
72,1445.5199,2062.8604
73,2149.0278,2005.4634
74,1942.0619,2308.07
75,1338.042,2171.0854
76,1931.91,1887.1554
77,1450.6799,2172.5403
78,1191.532,1968.4722
79,1463.9059,1885.5072
80,1930.022,1950.8948
81,1689.1699,2208.6958
82,1296.4501,2151.361
83,1661.712,1835.7883
84,1838.7739,2047.0399
85,1211.0039,2174.3804
86,1713.9259,1856.1359
87,2260.976,2021.6396
88,2216.65,2273.6035
89,1477.452,2197.866
90,1823.4819,1936.997
91,1641.14,2159.809
92,1644.3339,2083.9165
93,1363.26,2102.8599
94,2191.232,1930.5406
95,1375.7161,2294.5618
96,1452.6339,1926.1602
97,1440.0919,1984.1337
98,1534.6,1942.2579
99,1890.4719,1998.6102
100,1842.1139,2148.8855
101,2462.446,2222.17
102,2141.012,2311.2407
103,1599.924,2067.761
104,1501.538,1892.7097
105,1216.062,1874.6443
106,1564.524,1742.7721
107,2042.8099,1949.2225
108,1512.266,2122.0842
109,1286.4679,1939.7389
110,1486.5099,1872.5822
111,1894.598,1996.9911
112,1496.198,1955.4867
113,1141.4601,2045.8231
114,1194.0481,1746.4539
115,2022.2839,1778.614
116,1781.626,2127.1943
117,1351.6279,1987.0314
118,1706.386,1824.5189
119,1664.6799,2033.1416
120,1834.7618,2031.6747
121,1512.802,2094.5747
122,1393.9099,1930.6396
123,1608.8779,1822.841
124,1667.882,1838.5774
125,1731.474,1894.7964
126,1349.902,1933.1235
127,1012.648,1724.018
128,1857.156,1633.3096
129,1261.352,1968.1409
130,1967.634,1766.6641
131,1517.1759,1887.4222
132,1625.956,1768.7053
133,1246.398,1915.251
134,1606.9839,1699.1736
135,1422.226,1869.8649
136,2007.378,1820.0732
137,1543.7639,1996.5068
138,1209.906,1732.9117
139,1617.344,1690.7029
140,1307.162,1851.7405
141,1575.1499,1781.4393
142,1074.806,1828.0089
143,1530.5979,1641.2684
144,1287.786,1769.1288
145,1354.096,1743.7343
146,1338.898,1713.7225
147,1544.292,1704.7725
148,1179.736,1778.1929
149,1242.846,1684.4797
150,1659.106,1740.2363
151,956.89,1831.6318
152,1443.2599,1536.8171
153,1090.6381,1657.1228
154,1356.578,1483.9525
155,1035.66,1551.9717
156,1230.36,1500.6207
157,1475.45,1573.471
158,1207.392,1595.695
159,1178.776,1445.2917
160,1332.85,1504.3073
161,1602.9958,1591.356
162,1300.6499,1632.624
163,1101.732,1520.2003
164,493.618,1471.9272
165,489.6,1135.925
166,926.60803,987.53174
167,1508.792,1168.773
168,988.01605,1568.5194
169,1165.7,1450.1195
170,1086.8661,1457.7725
171,1107.1,1439.8116
172,855.142,1403.4441
173,1094.098,1288.5919
174,1039.214,1410.1892
175,1534.874,1413.87
176,771.362,1573.4281
177,1277.322,1353.8809
178,1709.0519,1354.6483
179,1059.394,1554.312
180,1010.134,1308.4147
181,1192.4459,1219.2933
182,1218.3419,1268.9161
183,1242.578,1302.5161
184,864.148,1499.5137
185,1238.568,1372.7227
186,1410.736,1375.6068
187,954.26,1354.8054
188,1110.136,1306.3232
189,1234.4,1400.113
190,846.252,1465.6879
191,1192.646,1274.0348
192,993.968,1433.2186
193,513.478,1379.0199
194,496.746,1157.2355
195,911.43,1072.433
196,718.074,1228.9464
197,599.554,1260.4003
198,731.808,1146.9929
199,966.41,1177.0558
200,1203.6439,1307.835
201,662.486,1328.7253
202,813.76196,1178.6868
203,739.53204,1253.9294
204,1030.0,1154.4496
205,561.73804,1332.987
206,536.688,1177.3243
207,543.016,1057.8191
208,688.566,1039.5591
209,902.85,1069.704
210,902.0,1185.4799
211,792.326,1202.337
212,975.83,1260.6279
213,706.96594,1265.9437
214,489.724,1068.8337
215,500.298,848.52325
216,508.892,820.9826
217,518.652,811.6154
218,532.672,810.60223
219,539.296,823.6497
220,526.472,849.43604
221,998.2341,841.82825
222,1069.358,1065.1643
223,950.954,1089.9562
224,824.43604,1025.988
225,806.42596,981.35425
226,748.676,957.03357
227,1514.0619,851.36395
228,1217.7119,1251.8715
229,785.908,1034.8197
230,1080.598,1000.4491
231,880.742,1143.2891
232,775.722,1037.576
233,1161.746,1001.9555
234,1548.7379,1178.8761
235,1066.708,1175.4569
236,1252.2539,975.5206
237,943.61005,1156.4761
238,1136.546,1074.829
239,749.466,1154.3976
240,1118.842,934.46515
241,1388.414,1122.4951
242,1668.3419,1309.5015
243,1265.522,1358.1865
244,980.536,1308.8363
245,1222.814,1234.4183
246,1251.188,1332.097
247,1024.388,1317.5436
248,1513.866,1196.1852
249,1228.6299,1412.03
250,1221.458,1318.9862
251,1086.254,1353.5321
252,1521.344,1325.4569
253,1112.354,1523.7012
254,1214.146,1221.3145
255,2064.358,1420.9387
256,1571.6158,1443.8375
257,1574.8579,1197.0481
258,1456.8059,1361.191
259,1743.162,1426.3691
260,1223.426,1621.1431
261,1374.032,1368.6694
262,2135.71,1432.4766
263,2035.328,1642.0531
264,1417.8679,1386.0522
