2025-07-11 14:23:19,971 - INFO - Train: [1/200][1/2]	eta 0:02:10	loss 0.0745	
2025-07-11 14:23:19,981 - INFO - Train: [1/200][2/2]	eta 0:01:08	loss 0.0299	
2025-07-11 14:23:20,007 - INFO - Train: [2/200][1/2]	eta 0:00:49	loss 0.1027	
2025-07-11 14:23:20,017 - INFO - Train: [2/200][2/2]	eta 0:00:37	loss 0.0806	
2025-07-11 14:23:20,040 - INFO - Train: [3/200][1/2]	eta 0:00:31	loss 0.0896	
2025-07-11 14:23:20,052 - INFO - Train: [3/200][2/2]	eta 0:00:27	loss 0.1380	
2025-07-11 14:23:20,085 - INFO - Train: [4/200][1/2]	eta 0:00:25	loss 0.0739	
2025-07-11 14:23:20,105 - INFO - Train: [4/200][2/2]	eta 0:00:22	loss 0.0593	
2025-07-11 14:23:20,132 - INFO - Train: [5/200][1/2]	eta 0:00:21	loss 0.0627	
2025-07-11 14:23:20,146 - INFO - Train: [5/200][2/2]	eta 0:00:19	loss 0.0284	
2025-07-11 14:23:20,166 - INFO - Train: [6/200][1/2]	eta 0:00:18	loss 0.0612	
2025-07-11 14:23:20,181 - INFO - Train: [6/200][2/2]	eta 0:00:17	loss 0.0683	
2025-07-11 14:23:20,202 - INFO - Train: [7/200][1/2]	eta 0:00:16	loss 0.0474	
2025-07-11 14:23:20,219 - INFO - Train: [7/200][2/2]	eta 0:00:16	loss 0.0418	
2025-07-11 14:23:20,243 - INFO - Train: [8/200][1/2]	eta 0:00:15	loss 0.0603	
2025-07-11 14:23:20,262 - INFO - Train: [8/200][2/2]	eta 0:00:15	loss 0.0103	
2025-07-11 14:23:20,288 - INFO - Train: [9/200][1/2]	eta 0:00:14	loss 0.0731	
2025-07-11 14:23:20,309 - INFO - Train: [9/200][2/2]	eta 0:00:14	loss 0.0306	
2025-07-11 14:23:20,337 - INFO - Train: [10/200][1/2]	eta 0:00:14	loss 0.0850	
2025-07-11 14:23:20,358 - INFO - Train: [10/200][2/2]	eta 0:00:13	loss 0.0184	
2025-07-11 14:23:20,389 - INFO - Train: [11/200][1/2]	eta 0:00:13	loss 0.0748	
2025-07-11 14:23:20,411 - INFO - Train: [11/200][2/2]	eta 0:00:13	loss 0.0090	
2025-07-11 14:23:20,442 - INFO - Train: [12/200][1/2]	eta 0:00:13	loss 0.0529	
2025-07-11 14:23:20,465 - INFO - Train: [12/200][2/2]	eta 0:00:12	loss 0.0303	
2025-07-11 14:23:20,497 - INFO - Train: [13/200][1/2]	eta 0:00:12	loss 0.0828	
2025-07-11 14:23:20,520 - INFO - Train: [13/200][2/2]	eta 0:00:12	loss 0.0194	
2025-07-11 14:23:20,554 - INFO - Train: [14/200][1/2]	eta 0:00:12	loss 0.0732	
2025-07-11 14:23:20,577 - INFO - Train: [14/200][2/2]	eta 0:00:12	loss 0.1472	
2025-07-11 14:23:20,611 - INFO - Train: [15/200][1/2]	eta 0:00:12	loss 0.0536	
2025-07-11 14:23:20,634 - INFO - Train: [15/200][2/2]	eta 0:00:12	loss 0.0349	
2025-07-11 14:23:20,669 - INFO - Train: [16/200][1/2]	eta 0:00:12	loss 0.0724	
2025-07-11 14:23:20,694 - INFO - Train: [16/200][2/2]	eta 0:00:12	loss 0.0055	
2025-07-11 14:23:20,728 - INFO - Train: [17/200][1/2]	eta 0:00:12	loss 0.0565	
2025-07-11 14:23:20,752 - INFO - Train: [17/200][2/2]	eta 0:00:12	loss 0.0688	
2025-07-11 14:23:20,787 - INFO - Train: [18/200][1/2]	eta 0:00:11	loss 0.0536	
2025-07-11 14:23:20,811 - INFO - Train: [18/200][2/2]	eta 0:00:11	loss 0.1537	
2025-07-11 14:23:20,845 - INFO - Train: [19/200][1/2]	eta 0:00:11	loss 0.0510	
2025-07-11 14:23:20,870 - INFO - Train: [19/200][2/2]	eta 0:00:11	loss 0.0443	
2025-07-11 14:23:20,905 - INFO - Train: [20/200][1/2]	eta 0:00:11	loss 0.0793	
2025-07-11 14:23:20,929 - INFO - Train: [20/200][2/2]	eta 0:00:11	loss 0.0113	
2025-07-11 14:23:20,963 - INFO - Train: [21/200][1/2]	eta 0:00:11	loss 0.0838	
2025-07-11 14:23:20,987 - INFO - Train: [21/200][2/2]	eta 0:00:11	loss 0.0073	
2025-07-11 14:23:21,022 - INFO - Train: [22/200][1/2]	eta 0:00:11	loss 0.0649	
