Day,Actual,Predicted
1,1406.692,1658.9619
2,2327.51,1689.4113
3,1913.4958,1740.4326
4,1939.994,1731.602
5,1604.0,1758.8716
6,1689.862,1810.3485
7,2080.272,1842.5248
8,1633.2699,1854.881
9,1788.702,1859.0314
10,2102.948,1840.2704
11,1975.9879,1846.449
12,1589.2781,1844.3248
13,2182.5999,1846.2997
14,1781.792,1859.8234
15,1564.068,1855.7443
16,2766.554,1857.2013
17,3317.82,1880.2068
18,3154.194,1900.3287
19,1699.8661,1925.3445
20,1738.028,1930.1028
21,1739.434,1928.8141
22,1237.3561,1933.6372
23,1910.536,1928.2887
24,2200.77,1911.5334
25,2843.6638,1885.0867
26,1674.472,1874.5339
27,1425.03,1872.2526
28,2721.734,1861.5764
29,1573.698,1883.9545
30,2059.0378,1892.1227
31,3312.852,1891.8087
32,1827.752,1911.1882
33,1603.2999,1843.232
34,1868.39,1793.4518
35,2460.924,1763.5055
36,1649.088,1715.0498
37,2048.396,1657.9186
38,3131.536,1592.3575
39,2182.866,1529.1243
40,1706.638,1550.9396
41,1943.822,1554.4486
42,2639.39,1556.2853
43,1968.6599,1577.6674
44,1690.0221,1598.3315
45,2335.3298,1585.9977
46,1586.032,1562.8259
47,1318.994,1520.28
48,793.506,1499.9446
49,826.45,1449.4656
50,737.268,1372.9475
51,1880.736,1324.8593
52,1316.184,1332.9738
53,2238.478,1306.257
54,2733.656,1329.1772
55,1783.144,1375.8312
56,1169.844,1427.3195
57,1156.852,1443.0103
58,2028.9178,1463.886
59,1630.75,1481.8043
60,2472.554,1498.8812
61,1477.442,1539.5723
62,1848.9519,1526.8856
63,1842.1301,1560.4594
64,1441.8119,1620.8947
65,1783.474,1665.8331
66,1696.4661,1682.7856
67,2357.166,1712.3652
68,1685.556,1715.2053
69,1836.21,1721.3312
70,2405.904,1722.0095
71,1887.26,1739.7162
72,1445.52,1756.3884
73,2149.028,1744.2537
74,1942.062,1760.976
75,1338.042,1749.813
76,1931.9099,1739.1023
77,1450.6799,1750.8151
78,1191.532,1726.5099
79,1463.906,1699.5178
80,1930.0221,1699.1625
81,1689.1699,1684.9696
82,1296.4501,1671.5331
83,1661.712,1662.3517
84,1838.774,1644.3982
85,1211.004,1662.4617
86,1713.926,1660.5642
87,2260.976,1673.3745
88,2216.65,1693.4652
89,1477.452,1703.1488
90,1823.482,1710.4104
91,1641.14,1720.646
92,1644.334,1712.462
93,1363.26,1731.6864
